time_s,forehead_R,forehead_G,forehead_B,left_cheek_R,left_cheek_G,left_cheek_B,nose_R,nose_G,nose_B,right_cheek_R,right_cheek_G,right_cheek_B,chin_R,chin_G,chin_B
0.597644,143.410034,112.304787,85.967308,151.316467,111.120697,80.470734,150.286362,110.506744,83.590385,153.926239,116.298737,91.89283,128.700729,91.145081,72.068909
0.626103,143.330109,112.300636,85.946739,151.268417,111.183456,80.41684,150.274918,110.501877,83.476952,154.008743,116.327591,92.046997,128.719147,91.190994,72.011124
0.654562,143.316895,112.270233,85.879662,151.447052,111.218323,80.404015,150.354126,110.602341,83.534058,154.053589,116.461555,91.914375,128.783432,91.240303,72.045097
0.683021,143.120422,112.094429,85.850906,151.592804,111.353737,80.525223,150.481049,110.66362,83.666443,154.179138,116.525284,92.187881,128.812943,91.29451,72.088364
0.71148,143.10704,112.210129,85.901009,151.670883,111.426048,80.610626,150.574768,110.673096,83.818199,154.249786,116.516022,92.130173,128.807892,91.303566,72.028282
0.73994,143.150467,112.237656,85.893723,151.605713,111.41787,80.609673,150.436844,110.737877,83.550873,154.012558,116.437401,92.033333,128.663513,91.221611,72.116013
0.768399,143.351349,112.457405,86.144852,151.402283,111.369492,80.465218,150.375122,110.683678,83.495735,153.794525,116.367317,91.998184,128.508545,91.135239,71.976089
0.796858,143.506165,112.501503,86.09507,151.219528,111.237946,80.398415,150.248215,110.657478,83.543358,153.54718,116.227928,91.808861,128.385056,90.889481,71.696648
0.825317,143.967773,112.905602,86.400177,150.991653,111.116394,80.206955,150.103882,110.650566,83.40406,153.361298,116.096275,91.785278,128.084427,90.684914,71.572029
0.853777,144.394547,113.247993,86.279793,150.501984,110.977516,80.024475,149.142075,109.915756,82.446159,152.693985,115.589943,91.190063,128.069794,90.777061,71.29155
0.882236,144.579544,113.465523,86.3629,150.376633,111.023064,79.9338,149.057663,109.956131,82.576607,152.603287,115.539955,91.302223,127.795563,90.553101,70.985771
0.910695,144.598221,113.455681,86.362984,150.430389,111.070518,80.031525,149.102936,110.070869,82.471832,152.649567,115.660057,91.291626,127.585533,90.330452,70.790901
0.939154,144.549438,113.501381,86.433823,150.522812,111.162849,80.146011,149.190674,110.143822,82.538467,152.661026,115.75885,91.363052,127.229164,90.013214,70.600861
0.967613,144.240936,113.392471,86.164597,150.546875,111.376389,80.043304,149.292297,110.184776,82.580429,152.695923,115.803169,91.462166,126.942162,89.761261,70.420479
0.996073,143.818665,112.978897,86.050072,150.618637,111.390907,80.073997,149.30101,110.159607,82.485626,152.6698,115.741211,91.400436,126.710114,89.364922,70.206467
1.024532,143.460739,112.691292,85.721786,150.591415,111.224327,80.171562,149.153214,109.940178,82.452309,152.462021,115.531898,91.181992,126.365578,88.942741,69.932236
1.052991,143.481598,112.543999,85.774323,150.567444,111.029533,80.134895,149.067139,109.693253,82.152878,152.31337,115.216858,91.230682,126.175079,88.557686,69.808571
1.08145,143.689011,112.596016,85.812935,150.422516,110.899704,80.062721,148.944,109.508972,82.329346,152.087357,115.008247,91.179283,125.94825,88.284515,69.50576
1.10991,143.65477,112.518143,85.748947,150.289108,110.743156,80.061722,148.796936,109.389664,82.134926,151.993423,114.849213,90.976273,125.71138,88.105354,69.415314
1.138369,142.757614,111.787682,85.369911,150.814682,111.093567,80.160385,149.348206,109.762299,82.523781,153.085983,115.870811,91.932007,125.942833,88.480606,69.772102
1.166828,142.749435,111.781342,85.467865,150.772629,111.065338,80.145821,149.504608,109.734245,82.744942,153.210724,115.997513,92.04007,125.745132,88.436981,69.588089
1.195287,142.832779,111.889549,85.392044,150.875488,111.06633,80.240044,149.584579,109.917557,82.710464,153.309982,116.156487,92.189857,125.742973,88.460281,69.726036
1.223746,142.784409,111.793259,85.350143,150.927582,111.217163,80.233788,149.809357,110.072243,82.874283,153.591919,116.345901,92.323235,125.4375,88.057083,69.432251
1.252206,142.897278,111.898117,85.397621,151.016129,111.225227,80.446182,149.959106,110.149742,83.044434,153.69606,116.481178,92.492065,125.095612,87.368309,69.024307
1.280665,142.828629,111.748352,85.325409,151.050766,111.199966,80.342743,150.035049,110.228073,83.10688,153.760742,116.535126,92.452904,124.804443,86.926285,68.793427
1.309124,142.667191,111.713051,85.29686,150.965103,111.115616,80.259132,149.993011,110.211784,83.117081,153.792709,116.476013,92.584686,124.357048,86.386589,68.603905
1.337583,142.920959,111.936737,85.499207,150.854843,111.075874,80.329079,149.911301,110.227501,83.198868,153.689331,116.430046,92.505363,122.713036,84.885719,67.57003
1.366042,142.730957,111.867218,85.393959,150.673462,110.967827,80.062378,149.919861,110.188087,83.002304,153.537369,116.320473,92.440102,121.792015,83.810646,67.04454
1.394502,143.083694,112.114441,85.547676,150.58287,110.976379,80.013252,149.876419,110.218697,83.046326,153.41478,116.271584,92.264526,121.467186,83.473801,66.743828
1.422961,144.631241,113.313423,86.34462,150.100632,110.868568,79.87381,148.901016,109.70726,82.333565,153.04718,116.292061,92.326744,122.358353,84.89682,67.516159
1.45142,144.816513,113.536415,86.598228,150.077057,110.815956,79.797066,148.847076,109.651756,82.399063,152.957794,116.277908,92.344612,122.190239,84.926811,67.447502
1.479879,144.691132,113.429611,86.400864,150.016037,110.94857,79.850479,148.781815,109.649101,82.422485,152.918106,116.250687,92.281448,122.017136,84.784019,67.336037
1.508339,144.774338,113.55143,86.389656,150.016342,111.015953,79.854126,148.754013,109.62748,82.203827,152.731171,116.200592,92.273659,121.938187,84.714432,67.122604
1.536798,144.677505,113.523537,86.406708,150.161514,111.145638,79.846191,148.706406,109.588524,82.166039,152.722031,116.124596,92.181351,121.954056,84.730415,67.124016
1.565257,144.384705,113.389519,86.252281,150.294601,111.360237,80.064362,148.696259,109.626228,82.067528,152.709549,116.129921,92.145508,121.731201,84.58699,66.94622
1.593716,144.450043,113.436234,86.222252,150.452774,111.531349,80.239998,148.718109,109.637627,81.943405,152.810776,116.144432,92.101395,121.39109,84.26622,66.836082
1.622175,144.721588,113.746407,86.271271,150.556274,111.761665,80.430397,148.748169,109.674706,82.047852,152.766373,116.162872,92.003372,121.606674,84.509941,66.819931
1.650635,144.296799,113.426353,86.102768,150.604202,111.813416,80.439606,148.645828,109.647621,81.879623,152.559158,116.049782,91.978271,121.474419,84.275887,66.825844
1.679094,144.342972,113.478859,86.147469,150.599518,111.897301,80.466431,148.58252,109.630363,81.809837,152.39975,115.972916,91.879951,121.182671,84.100433,66.552155
1.707553,144.973862,114.016449,86.694847,150.131897,111.136459,79.910233,149.114685,110.260643,82.832138,152.063492,116.320992,92.4207,121.37545,84.534424,67.095711
1.736012,144.940216,113.911575,86.677429,149.963699,110.932205,79.84803,148.985809,110.079056,82.65461,151.997574,116.150368,92.229271,121.439377,84.428001,67.110901
1.764472,144.724686,113.622437,86.600822,149.877487,110.662521,79.744957,148.950409,109.81366,82.578827,151.936371,115.939194,92.165321,120.969215,83.867264,66.789146
1.792931,144.789627,113.475334,86.543709,149.855911,110.487404,79.741257,148.897552,109.724625,82.438637,151.956436,115.811554,92.089951,120.657997,83.510986,66.581627
1.82139,145.373352,113.860199,86.826874,149.785034,110.393623,79.645515,148.82692,109.59816,82.439888,151.850204,115.656082,91.983635,120.962395,83.540024,66.742279
1.849849,145.325653,113.70916,86.871376,149.650162,110.21331,79.624252,148.572815,109.437157,82.38118,151.551529,115.480728,91.793175,120.61805,83.154816,66.425179
1.878308,145.322678,113.724045,86.963181,149.457565,110.078659,79.539055,148.474121,109.349365,82.264694,151.395599,115.250084,91.899872,120.577881,83.097092,66.531532
1.906768,145.658264,113.936562,86.96225,149.361969,109.995277,79.467636,148.332993,109.364647,82.190941,151.297211,115.18853,91.766113,120.704575,83.208679,66.474182
1.935227,145.617386,114.00264,87.022491,149.382523,110.062439,79.365273,148.396072,109.368629,82.246376,151.184799,115.13121,91.655991,120.663155,83.106323,66.557869
1.963686,145.321854,113.703613,86.920319,149.511658,110.118584,79.495903,148.508499,109.418526,82.286293,151.323074,115.226425,91.870628,120.705856,83.203445,66.461411
1.992145,144.363266,112.988327,86.456764,150.041351,110.469444,79.704842,149.291229,109.968597,82.911606,151.98233,115.776863,92.115517,121.453178,83.767303,67.063904
2.020604,144.252625,112.981926,86.395065,150.202225,110.49794,79.850319,149.323578,109.94136,82.974731,151.941711,115.779549,92.196838,121.540115,83.93383,67.185654
2.049064,144.332458,113.010605,86.409531,150.17746,110.557304,79.957939,149.206604,109.935219,82.963165,151.844727,115.772003,92.274689,121.228012,83.81575,67.065208
2.077523,144.150314,112.935356,86.36795,150.092621,110.538971,79.936745,149.080917,109.819832,82.731606,151.660873,115.678589,92.108437,121.473587,83.942856,67.170837
2.105982,144.358231,113.096138,86.34684,149.990402,110.529289,79.885796,148.970093,109.804878,82.660683,151.610626,115.514458,91.93811,121.518509,83.890999,67.182877
2.134441,144.634537,113.307587,86.489922,149.91214,110.480873,79.828972,148.792679,109.785675,82.508301,151.375381,115.348274,91.76165,121.87014,84.146805,67.231812
2.1629,144.888596,113.523933,86.728531,149.889526,110.381905,79.869049,148.730026,109.733017,82.417549,151.196487,115.202644,91.647987,121.645691,83.853874,67.259232
2.19136,145.17981,113.870773,86.847084,149.668976,110.350235,79.778648,148.646439,109.704208,82.373947,151.080078,115.086403,91.505432,121.471176,83.680374,67.082047
2.219819,145.224792,113.909966,86.958038,149.607224,110.395477,79.760399,148.472092,109.597168,82.325386,150.98381,115.045517,91.332687,121.779144,83.998604,67.296013
2.248278,144.841278,113.722763,86.689293,149.635712,110.526825,79.829369,148.375763,109.57489,82.107048,150.83226,114.958206,91.412369,121.518509,83.690186,67.049957
2.276737,145.272858,114.075691,86.923874,150.503326,111.231201,80.07341,148.92012,109.976341,82.506035,152.417419,116.58371,92.800957,122.891899,85.730904,68.379852
2.305197,144.495773,113.547035,86.471146,150.542694,111.391243,80.326111,148.940842,109.970383,82.586449,152.34288,116.514603,92.700371,123.451958,86.128479,68.642235
2.333656,144.994095,113.963158,86.711617,150.765625,111.575806,80.41584,148.907593,109.979042,82.371635,152.207291,116.416878,92.369225,123.242012,86.017433,68.529991
2.362115,144.427429,113.567863,86.500069,150.79866,111.667465,80.477951,148.805283,109.987007,82.247368,152.000153,116.253426,92.243713,122.969673,85.798805,68.328789
2.390574,144.377991,113.484055,86.411591,150.748611,111.674507,80.492729,148.625885,109.841171,82.093491,151.815414,116.032791,92.183792,123.023392,85.714478,68.22319
2.419034,144.85054,113.86998,86.749603,150.344055,111.378716,80.362625,148.237854,109.483765,81.782631,151.34285,115.487633,91.886459,122.375275,85.117149,67.777184
2.447493,145.209778,113.99556,86.868607,150.096527,110.999687,80.326736,147.947342,109.11042,81.565033,150.864151,115.001663,91.543015,122.368355,84.869637,67.820396
2.475952,145.14093,113.839325,86.776909,149.734909,110.579285,79.951653,147.604385,108.713501,81.290833,150.491928,114.579636,91.115738,122.041092,84.46019,67.392876
2.504411,144.749969,113.444679,86.647873,149.67598,110.459236,79.818298,147.463577,108.556679,81.136635,150.073578,114.223579,90.92215,122.101952,84.465614,67.482895
2.53287,145.054184,113.656036,86.708794,149.854584,110.656715,80.04332,147.58638,108.581192,81.134857,150.142365,114.207199,90.928024,121.952972,84.258873,67.363693
2.56133,143.068466,112.102623,85.576965,150.761292,111.428864,80.663597,148.789352,109.199814,81.859261,151.882828,115.416382,91.951363,123.288078,85.996521,68.3955
2.589789,143.072525,112.117172,85.483208,150.880173,111.551964,80.653854,148.997757,109.279381,81.992805,152.231369,115.667831,92.102234,123.605537,86.326881,68.52063
2.618248,142.142731,111.372345,84.957176,151.020035,111.651985,80.719421,149.032089,109.390114,81.941925,152.465012,115.8489,92.188835,123.702667,86.536888,68.567047
2.646707,141.934311,111.26506,84.848358,151.119354,111.770561,80.729942,149.110657,109.468994,82.123184,152.544708,115.970619,92.256706,123.620224,86.556175,68.604301
2.675166,142.147278,111.387634,85.044815,151.077408,111.799873,80.717079,149.121796,109.473938,82.156746,152.580429,115.9804,92.358215,123.942108,86.827423,68.807617
2.703626,142.311249,111.507393,85.015648,151.068604,111.732986,80.652687,149.216827,109.537735,82.126511,152.608643,115.977608,92.313438,123.941734,86.790359,68.809639
2.732085,142.649597,111.74157,85.152229,151.028229,111.648865,80.582596,149.146225,109.529305,82.210564,152.428055,115.910141,92.261269,123.587646,86.582764,68.529999
2.760544,142.639008,111.789154,85.244827,150.923294,111.630859,80.661652,149.159988,109.534721,82.292221,152.433563,115.979332,92.461578,124.071327,87.051842,68.708427
2.789003,142.448029,111.640518,85.180458,150.832535,111.544708,80.557259,149.148849,109.593178,82.336609,152.449203,116.032051,92.421066,123.595993,86.729599,68.492073
2.817463,142.500427,111.723465,85.217361,150.758163,111.559601,80.387077,149.169739,109.734383,82.440842,152.630203,116.222198,92.52906,123.714333,86.952278,68.705208
2.845922,143.372711,112.485878,85.767662,150.426208,111.337288,80.179283,148.704529,109.52636,82.127167,152.420303,116.53643,92.857109,124.845688,88.56041,69.537964
2.874381,143.547897,112.55822,85.751549,150.535797,111.410469,80.130569,148.812347,109.581917,82.23439,152.567398,116.614029,92.916275,124.869431,88.603516,69.552971
2.90284,143.815674,112.899055,85.877998,150.489365,111.47773,80.250877,148.791748,109.611038,82.188545,152.468903,116.556038,92.95533,125.105179,88.8283,69.632393
2.931299,144.286667,113.369247,86.202263,150.46254,111.529259,80.059814,148.675552,109.58699,82.201088,152.272644,116.5,92.815086,124.809258,88.642838,69.413559
2.959759,144.31041,113.419617,86.196625,150.39299,111.527664,80.245781,148.528824,109.534943,82.067505,152.059509,116.393188,92.6642,125.057709,88.861488,69.635353
2.988218,144.594727,113.678871,86.447029,150.40303,111.566956,80.143867,148.338257,109.532707,81.89695,151.923676,116.262825,92.424538,124.804634,88.727455,69.547188
3.016677,144.207779,113.389168,86.21682,150.468765,111.733017,80.105789,148.332108,109.584091,81.749138,151.797653,116.245796,92.352112,124.672409,88.805634,69.516731
3.045136,144.126953,113.363655,86.010239,150.603668,111.898918,80.348534,148.310852,109.551147,81.865814,151.863876,116.203568,92.304054,125.35675,89.351189,69.753349
3.073596,144.110168,113.348015,86.05748,150.780594,111.971802,80.555252,148.375977,109.446312,81.737976,152.029312,116.174873,92.537468,125.271027,89.306427,69.536522
3.102055,144.039246,113.158188,86.08567,150.936005,111.991867,80.668488,148.355728,109.178467,81.543312,152.055496,116.025444,92.369972,125.3424,89.371109,69.662224
3.130514,145.331482,114.067062,86.767441,150.443985,111.243729,80.324593,148.435028,109.403,82.07122,151.001114,115.583542,92.211464,124.672813,88.494568,69.54895
3.158973,144.872635,113.587982,86.594765,150.612778,111.320183,80.343063,148.284515,109.244652,81.814217,150.705048,115.304192,92.029938,124.377434,88.297615,69.385414
3.187433,144.981674,113.644188,86.56385,150.742966,111.502052,80.569847,148.17244,109.102425,81.814972,150.501663,114.975754,91.813324,124.616745,88.593727,69.316093
3.215892,144.626831,113.336906,86.292336,151.168564,111.730125,80.871559,148.175385,109.022232,81.627678,150.337585,114.798874,91.664078,125.029854,88.960297,69.649361
3.244351,144.358246,113.141304,86.261803,151.486847,112.092339,81.130798,148.290466,109.032486,81.551102,150.414337,114.707291,91.632484,125.251411,89.308807,69.792717
3.27281,144.314575,113.116646,86.128212,151.894974,112.448624,81.40789,148.365463,109.127899,81.54937,150.544357,114.885101,91.822472,125.74514,89.759888,70.01255
3.301269,144.344223,113.216789,86.270622,152.070526,112.640526,81.584129,148.453796,109.168022,81.57003,150.770966,115.010979,91.869133,125.92234,90.001724,70.028389
3.329729,144.238846,113.098488,86.036804,152.021805,112.641891,81.572426,148.462021,109.12986,81.700485,150.812073,114.997871,91.832832,126.019989,90.081215,70.147896
3.358188,144.237946,113.082779,86.133415,151.86792,112.518768,81.448776,148.408722,109.115387,81.678322,150.731857,114.970978,91.738014,126.100883,90.167618,70.247559
3.386647,144.523636,113.266571,86.139191,151.793732,112.403938,81.302322,148.268311,109.096245,81.482513,150.627304,114.854416,91.75209,126.064163,90.131767,70.24427
3.415106,144.886597,113.655579,86.735199,151.389053,111.644287,80.910797,148.714203,109.654549,82.206375,149.613892,114.098473,90.93924,124.955696,88.399002,69.468246
3.443565,144.806625,113.620705,86.850822,151.260086,111.593254,80.884361,148.515305,109.517357,82.040771,149.365509,113.847984,90.796577,125.026558,88.346939,69.512131
3.472025,145.182724,113.883194,86.846313,151.233566,111.609604,80.853889,148.415894,109.49028,81.802048,149.094147,113.646896,90.750778,124.921333,88.330551,69.423134
3.500484,144.793396,113.691101,86.732597,151.191193,111.620079,80.902458,148.257614,109.397087,81.775284,148.844254,113.5009,90.605164,124.964516,88.358955,69.524422
3.528943,144.840317,113.725029,86.717796,151.075241,111.666985,80.883652,148.11554,109.404488,81.7342,148.590012,113.365547,90.478928,125.034569,88.402115,69.454292
3.557402,145.213943,114.099327,86.961723,151.032944,111.682304,81.0177,148.01503,109.317436,81.654388,148.359161,113.207626,90.165825,124.97905,88.402206,69.443695
3.585861,144.88298,113.918312,86.774475,151.114365,111.741982,81.091347,147.917358,109.280678,81.608894,148.102844,112.991508,90.048157,124.931038,88.429153,69.372299
3.614321,145.328491,114.259941,86.959435,151.128967,111.855003,81.184998,147.851242,109.317909,81.528137,147.908829,112.890907,89.837135,125.026825,88.392113,69.281288
3.64278,145.350571,114.287018,86.966057,151.336594,112.014366,81.228012,147.87886,109.347267,81.483429,147.824371,112.932831,89.841805,125.172531,88.501472,69.307091
3.671239,145.442993,114.444084,86.999207,151.351746,112.053017,81.239838,147.800705,109.338295,81.477921,147.870377,112.852303,89.915161,125.090866,88.425095,69.441139
3.699698,143.408234,112.760941,85.949944,152.371292,112.501564,81.748352,149.113327,109.957741,82.219139,149.253235,113.625359,90.531105,124.730362,87.735046,69.121658
3.728158,142.931473,112.307381,85.758003,152.438782,112.381668,81.918205,149.050339,109.702049,82.110878,149.378967,113.51358,90.616348,124.816368,87.563515,69.059334
3.756617,142.786362,112.079285,85.649826,152.661041,112.455643,81.991768,149.118301,109.581871,82.204781,149.7164,113.582024,90.726288,124.896187,87.725494,69.380875
3.785076,143.158493,112.302254,85.721802,152.879944,112.543861,82.177994,149.20079,109.58448,82.154602,149.962906,113.688461,90.665184,125.130806,87.911293,69.46003
3.813535,143.274719,112.297798,85.77182,152.972595,112.621544,82.156273,149.260834,109.582603,82.136658,150.054199,113.767982,90.73436,125.222527,87.966789,69.637932
3.841995,143.234634,112.267578,85.764915,152.870056,112.450462,82.162033,149.204865,109.546547,82.156563,149.966858,113.621292,90.606895,125.298332,87.898827,69.669296
3.870454,143.111984,112.220901,85.768478,152.774277,112.355827,82.027405,149.206497,109.512932,82.132248,149.814377,113.556206,90.584518,125.266083,87.968346,69.746681
3.898913,142.990234,112.139999,85.587006,152.645157,112.338219,82.021477,149.095871,109.594193,82.094887,149.818893,113.622444,90.606354,125.192184,87.875191,69.738655
3.927372,143.313004,112.424744,85.87574,152.747452,112.349327,81.98848,149.189529,109.632538,82.223381,150.099716,113.756371,90.676704,125.387955,88.099968,69.721542
3.955831,143.369659,112.44381,85.800407,152.850311,112.449394,81.895409,149.299011,109.781837,82.186996,150.329117,113.962669,90.845886,125.413322,88.182106,69.764107
3.984291,144.210739,113.109901,86.31041,152.840958,112.569527,82.012383,149.048096,109.54892,82.121132,150.826263,114.569023,91.493729,126.400902,89.628632,70.779243
4.01275,144.532013,113.390625,86.566284,153.023407,112.655952,82.058495,149.249512,109.704681,82.261475,151.04187,114.805038,91.602531,126.557739,89.797569,71.100395
4.041209,144.081894,113.0354,86.301994,152.952774,112.73262,82.053253,149.224396,109.764427,82.357025,151.210571,114.945961,91.653168,126.707184,89.971947,71.25312
4.069668,144.121262,113.102036,86.351891,152.917618,112.691109,82.007622,149.217163,109.791031,82.316414,151.237808,114.975853,91.687943,126.61055,89.955551,71.114479
4.098127,144.249939,113.291481,86.455887,152.783646,112.593651,81.837616,149.097046,109.763634,82.272804,151.059204,114.888649,91.443665,126.317871,89.691414,71.04377
4.126586,144.771255,113.770378,86.690605,152.550949,112.499207,81.811905,149.042969,109.742149,82.164978,151.016357,114.7425,91.452026,126.438667,89.57373,70.91346
4.155046,144.53569,113.573296,86.6343,152.49556,112.449203,81.634285,148.970642,109.757576,82.182053,150.739273,114.703819,91.360664,125.982422,89.110512,70.722931
4.183505,144.532791,113.566978,86.666229,152.278015,112.319443,81.639763,148.919724,109.749626,82.106491,150.542725,114.677277,91.259727,126.014076,89.157204,70.574501
4.211964,144.978424,113.985321,86.846916,152.200317,112.315552,81.559044,148.850769,109.68634,81.891853,150.098328,114.313065,91.054382,125.965187,89.129143,70.567802
4.240424,144.457642,113.633347,86.577187,152.982224,113.055397,82.033806,149.189682,109.960487,82.150887,150.401505,114.718956,91.260239,126.000412,89.179131,70.56469
4.268883,143.39769,112.826294,85.832321,153.818405,113.99913,82.683174,149.488266,110.056992,82.323204,151.557129,115.505875,91.778763,126.783943,90.107246,71.122047
4.297342,142.911438,112.505173,85.566116,153.720398,113.913727,82.500717,149.584702,110.127914,82.300453,151.547318,115.434448,91.696175,126.913315,90.216461,71.174194
4.325801,142.913589,112.481911,85.631348,153.452148,113.665794,82.420631,149.538132,110.03463,82.128532,151.79393,115.517166,91.804672,126.836967,90.170967,71.080238
4.35426,143.038559,112.421242,85.679016,153.258011,113.347618,82.304207,149.377258,109.768677,82.020699,151.861572,115.341003,91.829865,126.920403,90.054695,70.962517
4.38272,143.163971,112.39283,85.695869,153.149368,113.033806,82.196587,149.207397,109.461395,81.890831,151.793961,115.077347,91.69223,126.877609,89.82547,70.898132
4.411179,143.021317,112.134171,85.555595,153.098892,112.842537,82.139839,149.060684,109.202835,81.782524,151.715332,114.820724,91.721336,126.838608,89.741508,70.937202
4.439638,143.098221,112.104904,85.484924,153.043091,112.773018,82.169044,148.929626,108.989296,81.74144,151.590454,114.666069,91.532692,126.725342,89.582344,70.854767
4.468097,142.835739,111.855965,85.403549,153.08786,112.680161,82.264923,148.811249,108.91806,81.627945,151.577148,114.53788,91.509651,126.641663,89.528198,70.950134
4.496556,142.521576,111.561325,85.318184,153.029999,112.677299,82.119522,148.858948,108.824554,81.663757,151.453354,114.483856,91.447021,126.667877,89.480057,70.779167
4.525016,142.782791,111.706398,85.386909,153.075958,112.626984,82.10881,148.861786,108.837547,81.658714,151.496597,114.460396,91.485229,126.674271,89.372108,70.766289
4.553475,142.489258,111.49321,85.297287,152.88208,112.102203,81.973999,149.406876,109.43779,82.297058,150.753143,113.952278,90.952782,125.237076,87.585312,69.797394
4.581934,142.762726,111.700089,85.647339,152.793701,112.07077,81.902565,149.413727,109.473854,82.382965,150.731888,113.984444,91.051369,125.230659,87.576942,69.840424
4.610394,143.088928,111.972183,85.836243,152.609039,111.914581,81.876564,149.386475,109.440643,82.343315,150.654999,113.950043,90.972412,125.153435,87.474686,69.827362
4.638853,143.471603,112.281311,85.956673,152.441238,111.792709,81.637177,149.316803,109.488289,82.243286,150.559113,113.85955,90.871841,125.143806,87.466911,69.830086
4.667312,143.560287,112.366188,86.009926,152.260941,111.588707,81.67289,149.188293,109.452965,82.264992,150.410675,113.79306,90.957565,124.994064,87.311104,69.654045
4.695771,143.800018,112.511627,86.127151,152.162277,111.614799,81.522301,149.231461,109.429306,82.282776,150.311508,113.77494,90.797859,124.876205,87.250946,69.619247
4.72423,143.593185,112.463982,85.952904,152.355499,111.682114,81.607887,149.313126,109.508522,82.497185,150.485092,113.867844,90.878624,125.067879,87.49234,69.704315
4.752689,143.383896,112.278206,85.908264,152.493912,111.907173,81.655037,149.417801,109.648361,82.452393,150.62088,114.032768,90.962517,125.208473,87.659042,69.92366
4.781148,142.759384,111.858261,85.736763,152.770325,112.129196,81.768272,149.604874,109.703026,82.507957,150.814621,114.211311,90.931808,125.306915,87.880074,69.96656
4.809608,142.558197,111.712357,85.596344,152.923462,112.374588,81.89006,149.592072,109.810478,82.526718,150.913589,114.352097,90.975349,125.55735,88.124504,70.159157
4.838067,143.175079,112.339218,85.923286,152.993073,112.56012,82.089279,149.621933,109.844414,82.5401,151.050476,114.501663,91.251083,125.87471,88.638611,70.4757
4.866526,143.019806,112.165573,85.613487,153.169189,112.750488,82.127647,149.681076,109.896225,82.40638,151.141922,114.606377,91.161896,125.962456,88.718422,70.52034
